,scatter,scatter,scatter,scatter,heating regression,heating regression,heating regression,heating regression,cooling regression,cooling regression,cooling regression,cooling regression
city,Boro,Boro,Town,Town,Boro,Boro,Town,Town,Boro,Boro,Town,Town
aggr,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter
temp,,,,,,,,,,,,
26.4,535.046964,176.176148831,1293.758004,265.277425466,542.81866519,177.491949688,1317.78289919,267.407070346,,,,
27.4,568.586637,182.005965749,1374.306318,274.203175978,528.990280605,172.970538277,1283.99076464,260.561246663,,,,
29.7,580.284826,191.956608005,1419.297468,290.007655905,497.184996061,162.57129203,1206.26885519,244.81585219,,,,
30.8,472.086115,154.175739713,1168.457565,236.099730249,481.973773019,157.597739478,1169.09750719,237.285446138,,,,
30.9,316.583028,101.893475378,794.291422,158.541201996,480.59093456,157.145598336,1165.71829373,236.600863769,,,,
31.3,548.031604,177.241786546,1369.392502,278.105707149,475.059580726,155.337033772,1152.20143992,233.862534296,,,,
32.6,498.128698,164.507496037,1208.266143,247.494089103,457.082680767,149.459198937,1108.27166501,224.962963507,,,,
33.9,407.852416,135.13996554,1026.652691,211.071688117,439.105780807,143.581364102,1064.3418901,216.063392718,,,,
34.4,537.160069,172.221888105,1255.661196,244.720560515,432.191588515,141.320658396,1047.44582283,212.640480876,,,,
34.7,260.176683,84.7481052117,657.496816,132.908190014,428.04307314,139.964234973,1037.30818246,210.586733771,,,,
35.3,549.794577,183.264859,1235.97199,253.845140686,419.746042389,137.251388126,1017.03290174,206.479239561,,,,
35.4,428.237258,140.03834467,1036.210976,214.270259719,418.363203931,136.799246985,1013.65368828,205.794657192,,,,
36.4,396.438543,132.278459459,948.774269,194.142473706,404.534819346,132.277835573,979.861553737,198.948833508,,,,
38.5,437.189846,145.053034506,1052.56515,216.488101604,375.495211719,122.782871609,908.898071193,184.572603772,,,,
38.9,405.644566,133.391833607,955.850429,197.448962818,369.963857886,120.974307045,895.381217375,181.834274299,,,,
40.8,308.713314,101.468226835,726.478439,149.809114914,343.689927176,112.383625363,831.17616174,168.8272093,,,,
41.3,394.135606,125.801342483,1002.410279,197.636096017,336.775734883,110.122919657,814.280094468,165.404297458,,,,
41.4,195.513128,64.4194820428,492.056418,100.913949549,335.392896425,109.670778516,810.900881013,164.719715089,,,,
41.9,176.587368,56.0416908918,419.87192,80.6515405302,328.478704133,107.41007281,794.004813741,161.296803248,,,,
43.1,163.250241,53.4370674304,403.051286,82.8812021386,311.884642632,101.984379117,753.454252287,153.081814827,,,,
45.1,173.96789,55.4921499203,430.475609,85.5476170509,284.227873463,92.9415562937,685.869983197,139.390167459,,,,
46.0,409.701885,133.540379726,973.673183,196.781160671,271.782327337,88.8722860234,655.457062107,133.228926144,,,,
49.2,177.608098,58.0988217206,441.060432,90.7531753086,227.531496667,74.4037695067,547.322231564,111.322290356,,,,
