,Boro,Boro,Town,Town
,aggregate,per meter,aggregate,per meter
read_date,,,,
2009-04-01,308.493786,98.6548724017,733.881914,148.830240114
2009-05-01,177.057702,57.0050553767,417.116081,85.0562971044
2009-06-01,86.039754,27.53272128,218.245887,44.4040461851
2009-07-01,57.475383,19.1393216783,158.014837,32.4799253854
2009-08-01,59.266322,19.1800394822,121.4865,24.9663995068
2009-09-01,47.253925,14.5890475455,137.148462,26.8182366054
2009-10-01,72.843376,23.5815396568,171.917796,34.8434933117
2009-11-01,197.486278,64.2023010403,481.807367,97.413539628
2009-12-01,260.176683,84.7481052117,657.496816,132.908190014
2010-01-01,548.031604,177.241786546,1369.392502,278.105707149
2010-02-01,472.086115,154.175739713,1168.457565,236.099730249
2010-03-01,409.701885,133.540379726,973.673183,196.781160671
2010-04-01,192.02557,63.3329716359,474.813765,95.8251796165
2010-05-01,144.246104,45.6042061334,296.18725,59.715171371
2010-06-01,76.153807,24.463156762,178.027703,35.5699706294
2010-07-01,49.407637,15.6254386464,118.041242,23.5564242666
2010-08-01,44.159362,14.0814292092,101.298448,20.2718527116
2010-09-01,40.660159,12.7222024406,105.223616,21.0826720096
2010-10-01,68.098495,21.8684955042,164.458085,32.8259650699
2010-11-01,173.96789,55.4921499203,430.475609,85.5476170509
2010-12-01,316.583028,101.893475378,794.291422,158.541201996
2011-01-01,568.586637,182.005965749,1374.306318,274.203175978
2011-02-01,537.160069,172.221888105,1255.661196,244.720560515
2011-03-01,394.135606,125.801342483,1002.410279,197.636096017
2011-04-01,282.909956,92.6965779817,688.165088,141.743581462
2011-05-01,138.799671,45.3890356442,294.934194,60.7235318098
2011-06-01,84.120571,27.2852971132,187.218437,38.3016442308
2011-07-01,49.092412,16.053764552,139.17248,28.3273926318
2011-08-01,43.020793,13.6357505547,99.350788,20.3005288108
2011-09-01,49.730808,15.9087677543,127.400416,26.0692482095
2011-10-01,64.29415,21.0042959817,155.793172,32.1953238272
2011-11-01,177.608098,58.0988217206,441.060432,90.7531753086
2011-12-01,267.658114,87.8431617985,638.681091,131.795520223
2012-01-01,428.237258,140.03834467,1036.210976,214.270259719
2012-02-01,405.644566,133.391833607,955.850429,197.448962818
2012-03-01,364.571154,119.924721711,869.667397,179.054436278
2012-04-01,191.791439,62.5135068449,429.148418,88.5938104872
2012-05-01,122.424088,39.8127115447,273.199515,56.3414136935
2012-06-01,62.134148,20.0432735484,141.720849,28.6884309717
2012-07-01,45.985887,14.7060719539,108.920229,22.2240826362
2012-08-01,41.656918,13.6535293346,102.864329,20.9499651731
2012-09-01,49.685171,15.9451768293,115.841863,23.4830454085
2012-10-01,66.4957,21.6880952381,162.654131,33.3512673775
2012-11-01,195.513128,64.4194820428,492.056418,100.913949549
2012-12-01,349.768514,115.093291872,814.275787,167.822709604
2013-01-01,407.852416,135.13996554,1026.652691,211.071688117
2013-02-01,498.128698,164.507496037,1208.266143,247.494089103
2013-03-01,437.189846,145.053034506,1052.56515,216.488101604
2013-04-01,307.238026,102.004656707,723.556323,148.360943818
2013-05-01,149.675476,49.5286154864,310.421603,63.7416022587
2013-06-01,90.957704,29.483858671,202.648032,40.8729390883
2013-07-01,53.332185,17.5146748768,136.2016,27.5321609056
2013-08-01,46.393478,15.2359533662,121.186076,24.4573311806
2013-09-01,54.715622,17.7763554256,133.242917,27.1924320408
2013-10-01,60.898964,20.1452080715,156.978349,32.1216183753
2013-11-01,163.250241,53.4370674304,403.051286,82.8812021386
2013-12-01,396.438543,132.278459459,948.774269,194.142473706
2014-01-01,535.046964,176.176148831,1293.758004,265.277425466
2014-02-01,580.284826,191.956608005,1419.297468,290.007655905
2014-03-01,549.794577,183.264859,1235.97199,253.845140686
2014-04-01,326.711047,107.789853844,757.931393,154.051096138
2014-05-01,162.330555,52.8591843048,378.801755,75.1292651726
2014-06-01,80.866405,26.1534298189,173.899741,34.3336112537
2014-07-01,57.35538,18.6218766234,145.785414,28.3078473786
2014-08-01,51.94486,16.8378800648,125.07825,23.8108223872
2014-09-01,49.766677,16.2212115385,122.483141,23.495710915
2014-10-01,65.137682,21.286824183,166.878322,32.0611569645
2014-11-01,176.587368,56.0416908918,419.87192,80.6515405302
2014-12-01,,,,
