,scatter,scatter,scatter,scatter,heating regression,heating regression,heating regression,heating regression,cooling regression,cooling regression,cooling regression,cooling regression
city,Boro,Boro,Town,Town,Boro,Boro,Town,Town,Boro,Boro,Town,Town
aggr,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter
temp,,,,,,,,,,,,
26.4,2803.938981,5829.39497089,475.60399,1716.98191336,2042.21911182,4133.46245979,432.94988433,1462.32394374,,,,
27.4,2443.674707,4848.56092659,444.616745,1380.79734472,2022.67090825,4098.51327565,424.261511272,1433.51850033,,,,
29.7,846.314783,1789.24901268,364.49077,1301.75275,1977.71004005,4018.13015213,404.278253239,1367.26598048,,,,
30.8,2317.612801,4749.20655943,395.195531,1287.28185993,1956.20701613,3979.68604957,394.721042875,1335.57999272,,,,
30.9,1749.660381,3371.21460694,297.366941,890.320182635,1954.25219577,3976.19113116,393.852205569,1332.69944838,,,,
31.3,2191.110405,4181.50840649,452.560985,1478.95746732,1946.43291435,3962.21145751,390.376856346,1321.17727102,,,,
32.6,2109.383693,4385.41308316,386.893886,1371.96413475,1921.02024971,3916.77751812,379.08197137,1283.73019458,,,,
33.9,1807.485692,3644.12437903,361.93736,1301.93294964,1895.60758508,3871.34357874,367.787086395,1246.28311814,,,,
34.4,2257.408578,4409.00112891,386.531612,1143.58465089,1885.83348329,3853.86898667,363.442899866,1231.88039643,,,,
34.7,1384.671817,2854.99343711,261.240422,865.034509934,1879.96902223,3843.38423143,360.836387948,1223.23876341,,,,
35.3,1854.293858,3776.56590224,456.031639,1628.684425,1868.24010009,3822.41472095,355.623364113,1205.95549736,,,,
35.4,1742.336574,3683.58683721,369.537524,1292.08924476,1866.28527973,3818.91980253,354.754526807,1203.07495302,,,,
36.4,992.811853,2121.39284829,362.108873,1293.245975,1846.73707616,3783.97061839,346.066153749,1174.26950961,,,,
38.5,2005.494247,4369.26851198,384.461074,1368.18887544,1805.68584868,3710.5773317,327.820570327,1113.77807844,,,,
38.9,2117.889296,4496.58024628,322.132202,1126.33637063,1797.86656725,3696.59765804,324.345221104,1102.25590107,,,,
40.8,1555.359294,3289.27163068,281.313218,978.920559155,1760.72498048,3630.19420818,307.837312294,1047.52555858,,,,
41.3,1979.195478,3769.89614857,348.967632,1054.28287613,1750.9508787,3612.71961611,303.493125765,1033.12283688,,,,
41.4,1482.767862,3195.62039224,200.629333,694.219145329,1748.99605834,3609.2246977,302.624288459,1030.24229254,,,,
41.9,1456.324033,3040.34244885,184.052547,641.298073171,1739.22195656,3591.75010563,298.28010193,1015.83957083,,,,
43.1,1446.518494,3064.65782627,275.127427,1000.46337091,1715.76411228,3549.81108466,287.85405426,981.273038732,,,,
45.1,1219.980619,2392.11886078,180.064464,568.026700315,1676.66770515,3479.91271638,270.477308144,923.662151904,,,,
