,scatter,scatter,scatter,scatter,heating regression,heating regression,heating regression,heating regression,cooling regression,cooling regression,cooling regression,cooling regression
city,Boro,Boro,Town,Town,Boro,Boro,Town,Town,Boro,Boro,Town,Town
aggr,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter,aggregate,per meter
temp,,,,,,,,,,,,
26.4,10.661297,11.0251261634,6.309639,7.58370072115,11.0824297341,11.1525249599,6.18677084095,7.1435261381,,,,
27.4,11.409864,10.9289885057,7.383848,7.659593361,11.1382034858,11.2239050556,6.15065890456,7.11478747311,,,,
29.7,10.066603,10.6524899471,6.161642,7.28326477541,11.2664831147,11.3880792758,6.06760145087,7.04868854362,,,,
30.8,12.332881,12.7934450207,5.291238,6.3216702509,11.3278342416,11.4665973811,6.02787832084,7.01707601212,,,,
30.9,12.471448,12.4341455633,5.282841,6.11439930556,11.3334116168,11.4737353907,6.0242671272,7.01420214562,,,,
31.3,12.367355,12.2692013889,6.611833,7.49640929705,11.3557211174,11.502287429,6.00982235264,7.00270667962,,,,
32.6,10.594301,10.8994866255,6.408764,7.67516646707,11.4282269946,11.5950815535,5.96287683534,6.96534641513,,,,
33.9,10.797653,11.0067818552,5.832087,7.71440079365,11.5007328718,11.6878756779,5.91593131803,6.92798615063,,,,
34.4,11.486637,11.2283841642,6.268691,7.18886582569,11.5286197477,11.7235657258,5.89787534983,6.91361681814,,,,
34.7,14.674974,14.9591987768,5.68067,6.89401699029,11.5453518732,11.7449797545,5.88704176892,6.90499521864,,,,
35.3,9.873238,9.8930240481,6.293234,7.3691264637,11.5788161242,11.787807812,5.86537460708,6.88775201964,,,,
35.4,14.666331,15.1355325077,6.061452,7.5579201995,11.5843934994,11.7949458215,5.86176341344,6.88487815314,,,,
36.4,14.191721,14.907269958,5.604116,6.67951847437,11.6401672511,11.8663259173,5.82565147705,6.85613948814,,,,
38.5,10.300303,10.6079330587,5.938782,7.18111487304,11.7572921296,12.0162241183,5.74981641064,6.79578829165,,,,
38.9,7.802533,8.16058931229,5.459795,6.50149591279,11.7796016303,12.0447761566,5.73537163608,6.78429282566,,,,
40.8,12.3288625,12.5789375962,6.1154225,6.99843062115,11.8855717585,12.1803983385,5.66675895694,6.72968936216,,,,
41.3,12.2431,11.1911334552,5.299828,5.09109317963,11.9134586344,12.2160883864,5.64870298874,6.71532002967,,,,
41.4,9.983445,10.4978391167,4.154217,5.13500247219,11.9190360095,12.223226396,5.64509179511,6.71244616317,,,,
41.9,11.330296,11.7534190871,3.925758,4.42089864865,11.9469228854,12.2589164438,5.62703582691,6.69807683067,,,,
43.1,11.464371,11.7462817623,4.96814,5.85865566038,12.0138513874,12.3445725587,5.58370150324,6.66359043267,,,,
45.1,14.736421,15.0987920082,5.327833,6.65147690387,12.1253988908,12.4873327502,5.51147763046,6.60611310268,,,,
