,Boro,Boro,Town,Town
,aggregate,per meter,aggregate,per meter
read_date,,,,
2009-04-01,13.774845,14.4998368421,4.60425,5.71956521739
2009-05-01,16.627086,17.2123043478,5.616928,6.97755031056
2009-06-01,15.854217,16.4122329193,6.538148,7.85835096154
2009-07-01,15.12801,15.6604658385,5.535791,6.60595584726
2009-08-01,17.237669,18.2990116773,5.60245,6.91660493827
2009-09-01,17.842559,17.8069451098,6.62225,7.92135167464
2009-10-01,14.048249,14.8188280591,4.852219,5.94634681373
2009-11-01,13.924692,14.3553525773,5.923555,6.97709658422
2009-12-01,14.674974,14.9591987768,5.68067,6.89401699029
2010-01-01,12.367355,12.2692013889,6.611833,7.49640929705
2010-02-01,12.332881,12.7934450207,5.291238,6.3216702509
2010-03-01,11.336759,12.1248759358,5.891051,7.11479589372
2010-04-01,16.427323,15.7349837165,5.487849,6.48681914894
2010-05-01,16.826498,17.3827458678,5.501124,6.4795335689
2010-06-01,15.589979,16.0555911432,5.842971,7.02280168269
2010-07-01,15.833578,16.0746984772,6.073461,7.19604383886
2010-08-01,15.509023,15.6498718466,6.243562,7.4862853717
2010-09-01,16.410974,16.3130954274,5.929218,7.02513981043
2010-10-01,14.720764,14.7798835341,6.119202,7.10708710801
2010-11-01,14.736421,15.0987920082,5.327833,6.65147690387
2010-12-01,12.471448,12.4341455633,5.282841,6.11439930556
2011-01-01,11.409864,10.9289885057,7.383848,7.659593361
2011-02-01,11.486637,11.2283841642,6.268691,7.18886582569
2011-03-01,12.2431,11.1911334552,5.299828,5.09109317963
2011-04-01,12.791374,12.959852077,6.117099,7.67515558344
2011-05-01,17.436558,18.569284345,5.620504,6.77986007238
2011-06-01,14.840128,15.6047613039,5.806082,7.19464931846
2011-07-01,14.752497,14.9165793731,6.189926,7.36019738407
2011-08-01,16.200065,16.6838980433,6.776728,8.46033458177
2011-09-01,14.357096,14.893253112,5.878872,7.04056526946
2011-10-01,14.510736,15.0214658385,5.86156,7.24543881335
2011-11-01,16.065574,16.9111305263,5.229579,6.43244649446
2011-12-01,13.815024,14.0825932722,5.85437,6.91188902007
2012-01-01,14.666331,15.1355325077,6.061452,7.5579201995
2012-02-01,9.801362,10.1991279917,6.071019,7.33214855072
2012-03-01,12.675704,12.5751031746,5.897973,7.20143223443
2012-04-01,11.973654,12.5641699895,5.567657,6.81475764994
2012-05-01,13.746675,13.705558325,5.470871,6.6153216445
2012-06-01,13.594642,14.1023257261,6.144893,7.28931553974
2012-07-01,12.647069,13.1329896158,6.525746,7.87182870929
2012-08-01,12.892151,13.4714221526,6.775655,8.25292935445
2012-09-01,12.717091,13.1239329205,6.681679,8.14838902439
2012-10-01,13.70872,14.3246812957,5.549552,6.71046191052
2012-11-01,9.983445,10.4978391167,4.154217,5.13500247219
2012-12-01,10.842701,11.0752819203,6.376475,7.08497222222
2013-01-01,10.797653,11.0067818552,5.832087,7.71440079365
2013-02-01,10.594301,10.8994866255,6.408764,7.67516646707
2013-03-01,10.300303,10.6079330587,5.938782,7.18111487304
2013-04-01,9.776463,10.2371340314,5.604794,6.81019927096
2013-05-01,13.66949,14.3436411333,5.098269,6.18721966019
2013-06-01,13.88448,16.20126021,6.138462,7.41360144928
2013-07-01,12.347575,12.0346734893,6.1273,7.3293062201
2013-08-01,15.326031,15.2346232604,6.762593,8.01255094787
2013-09-01,-4.779173,-5.02013970588,6.014394,7.15147919144
2013-10-01,28.667227,30.1760284211,5.482924,6.63792251816
2013-11-01,11.464371,11.7462817623,4.96814,5.85865566038
2013-12-01,14.191721,14.907269958,5.604116,6.67951847437
2014-01-01,10.661297,11.0251261634,6.309639,7.58370072115
2014-02-01,10.066603,10.6524899471,6.161642,7.28326477541
2014-03-01,9.873238,9.8930240481,6.293234,7.3691264637
2014-04-01,9.584572,9.94250207469,5.590937,6.69573293413
2014-05-01,14.569539,15.2720534591,5.275288,6.6439395466
2014-06-01,10.727772,10.7385105105,5.733156,6.18463430421
2014-07-01,6.87106,7.16481751825,6.120371,7.0349091954
2014-08-01,18.621682,19.2372747934,6.150832,7.04562657503
2014-09-01,11.539714,12.1598672287,5.761777,6.69974069767
2014-10-01,12.226898,13.0768962567,4.446721,5.31268936679
2014-11-01,11.330296,11.7534190871,3.925758,4.42089864865
2014-12-01,5.803704,6.12205063291,4.848571,5.67084327485
