temp,hdd scatter,cdd scatter,hdd regression,cdd regression
27.3,1010.0,,945.158109212,
35.1,671.0,,725.714666428,
40.8,548.0,,565.352150547,
40.8,548.0,,565.352150547,
40.8,548.0,,565.352150547,
40.8,579.0,,565.352150547,
40.8,579.0,,565.352150547,
40.8,579.0,,565.352150547,
40.8,596.0,,565.352150547,
40.8,596.0,,565.352150547,
40.8,596.0,,565.352150547,
52.8,239.0,65.0,227.746853956,
52.8,239.0,65.0,227.746853956,
52.8,239.0,33.0,227.746853956,
52.8,239.0,33.0,227.746853956,
52.8,222.0,65.0,227.746853956,
52.8,222.0,65.0,227.746853956,
52.8,222.0,33.0,227.746853956,
52.8,222.0,33.0,227.746853956,
61.6,43.0,132.0,,142.733013864
67.7,2.0,271.0,,293.574909899
65.2,11.0,180.0,,231.754460705
53.7,199.0,30.0,202.426456712,
49.6,299.0,3.0,317.774933047,
34.7,745.0,,736.968176314,
31.3,846.0,,832.623010349,
30.8,766.0,,846.689897707,
46.0,363.0,2.0,419.056522024,
55.8,136.0,54.0,143.345529808,-0.69042826733
64.2,56.0,229.0,,207.026281027
56.1,139.0,45.0,134.905397393,6.72802563603
56.1,139.0,45.0,134.905397393,6.72802563603
56.1,139.0,45.0,134.905397393,6.72802563603
56.1,139.0,45.0,134.905397393,6.72802563603
56.1,139.0,30.0,134.905397393,6.72802563603
56.1,139.0,30.0,134.905397393,6.72802563603
56.1,139.0,30.0,134.905397393,6.72802563603
56.1,139.0,30.0,134.905397393,6.72802563603
56.1,169.0,45.0,134.905397393,6.72802563603
56.1,169.0,45.0,134.905397393,6.72802563603
56.1,169.0,45.0,134.905397393,6.72802563603
56.1,169.0,45.0,134.905397393,6.72802563603
56.1,169.0,30.0,134.905397393,6.72802563603
56.1,169.0,30.0,134.905397393,6.72802563603
56.1,169.0,30.0,134.905397393,6.72802563603
56.1,169.0,30.0,134.905397393,6.72802563603
45.1,404.0,,444.376919269,
30.9,857.0,,843.876520235,
27.4,974.0,,942.344731741,
34.4,658.0,1.0,745.408308729,
41.3,529.0,4.0,551.285263189,
54.0,181.0,74.0,193.986324297,
64.0,14.0,198.0,,202.080645091
69.4,11.0,269.0,,335.612815352
49.2,320.0,1.0,329.028442933,
35.4,733.0,,717.274534013,
38.9,596.0,,618.806322508,
38.9,596.0,,618.806322508,
38.9,643.0,,618.806322508,
38.9,643.0,,618.806322508,
49.7,321.0,14.0,314.961555575,
65.1,18.0,187.0,,229.281642737
70.2,1.0,312.0,,355.395359094
67.3,6.0,232.0,,283.683638028
56.9,141.0,53.0,112.398377621,26.5105693783
41.4,547.0,,548.471885718,
33.9,795.0,,759.475196087,
32.6,752.0,,796.049103218,
38.5,630.0,,630.059832394,
51.7,256.0,32.0,258.694006144,
60.9,83.0,139.0,,125.42328809
64.5,19.0,172.0,,214.44473493
57.2,151.0,83.0,103.958245206,33.9290232817
43.1,493.0,2.0,500.644468701,
36.4,749.0,4.0,689.140759297,
26.4,1043.0,,970.478506457,
29.7,861.0,,877.637049894,
35.3,718.0,,720.087911485,
50.6,275.0,22.0,289.641158331,
62.2,27.0,114.0,,157.569921671
67.0,4.0,239.0,,276.265184125
57.0,129.0,55.0,109.585000149,28.9833873461
41.9,529.0,1.0,534.40499836,
72.4,,420.0,,409.797354386
75.6,,499.0,,488.927529355
74.4,,472.0,,459.253713741
78.7,,642.0,,565.584886356
75.4,,539.0,,483.981893419
69.5,,334.0,,338.08563332
72.6,,411.0,,414.742990321
78.8,,656.0,,568.057704324
74.3,,423.0,,456.780895773
78.1,,549.0,,550.747978549
75.1,,456.0,,476.563439516
71.5,,362.0,,387.541992675
78.2,,569.0,,553.220796517
71.7,,383.0,,392.487628611
70.7,,348.0,,367.759448933
74.5,,474.0,,461.726531709
70.9,,374.0,,372.705084869
