04/2009,PRINCETON BORO,Commercial,"2,895,802.033 THM",465,"13,693,158.000 KWH",872
04/2009,PRINCETON BORO,Industrial,"8,703.966 THM",21,"22,280.000 KWH",30
04/2009,PRINCETON BORO,Residential,"308,493.786 THM","3,127","2,034,032.000 KWH","3,919"
04/2009,PRINCETON BORO,Street Lighting,,,"59,407.000 KWH",48
04/2009,PRINCETON TWP,Commercial,"316,518.823 THM",296,"4,468,200.000 KWH",696
04/2009,PRINCETON TWP,Industrial,"2,532.996 THM",11,"35,513.000 KWH",18
04/2009,PRINCETON TWP,Residential,"733,881.914 THM","4,931","5,341,581.000 KWH","6,244"
04/2009,PRINCETON TWP,Street Lighting,,,"100,537.000 KWH",91
05/2009,PRINCETON BORO,Commercial,"1,269,138.299 THM",479,"16,488,933.000 KWH",888
05/2009,PRINCETON BORO,Industrial,"5,502.744 THM",21,"83,285.000 KWH",30
05/2009,PRINCETON BORO,Residential,"177,057.702 THM","3,106","1,902,944.000 KWH","3,852"
05/2009,PRINCETON BORO,Street Lighting,,,"54,868.000 KWH",48
05/2009,PRINCETON TWP,Commercial,"280,644.499 THM",299,"5,486,548.000 KWH",696
05/2009,PRINCETON TWP,Industrial,"1,522.019 THM",12,"36,406.000 KWH",18
05/2009,PRINCETON TWP,Residential,"417,116.081 THM","4,904","4,982,821.000 KWH","6,187"
05/2009,PRINCETON TWP,Street Lighting,,,"93,974.000 KWH",91
06/2009,PRINCETON BORO,Commercial,"1,089,835.309 THM",476,"15,780,015.000 KWH",890
06/2009,PRINCETON BORO,Industrial,"2,476.325 THM",21,"25,174.000 KWH",28
06/2009,PRINCETON BORO,Residential,"86,039.754 THM","3,125","2,025,637.000 KWH","3,899"
06/2009,PRINCETON BORO,Street Lighting,,,"49,028.000 KWH",48
06/2009,PRINCETON TWP,Commercial,"209,781.087 THM",288,"6,418,026.000 KWH",711
06/2009,PRINCETON TWP,Industrial,827.872 THM,11,"33,094.000 KWH",18
06/2009,PRINCETON TWP,Residential,"218,245.887 THM","4,915","5,367,962.000 KWH","6,253"
06/2009,PRINCETON TWP,Street Lighting,,,"87,028.000 KWH",103
07/2009,PRINCETON BORO,Commercial,"-182,040.820 THM",477,"15,047,891.000 KWH",888
07/2009,PRINCETON BORO,Industrial,"1,626.151 THM",21,"30,416.000 KWH",30
07/2009,PRINCETON BORO,Residential,"57,475.383 THM","3,003","2,065,222.000 KWH","3,814"
07/2009,PRINCETON BORO,Street Lighting,,,"49,703.000 KWH",48
07/2009,PRINCETON TWP,Commercial,"160,511.353 THM",290,"5,407,421.000 KWH",725
07/2009,PRINCETON TWP,Industrial,487.824 THM,11,"41,307.000 KWH",18
07/2009,PRINCETON TWP,Residential,"158,014.837 THM","4,865","5,817,794.000 KWH","6,305"
07/2009,PRINCETON TWP,Street Lighting,,,"87,063.000 KWH",95
08/2009,PRINCETON BORO,Commercial,"885,066.638 THM",436,"17,212,510.000 KWH",862
08/2009,PRINCETON BORO,Industrial,969.394 THM,19,"-25,470.000 KWH",32
